EVENT_DATE,YEAR,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,LOCATION,LATITUDE,LONGITUDE,SOURCE,SOURCE_SCALE,FATALITIES,TIMESTAMP
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Northern Sehla,26.203,50.53,14 February Revolution Youth Coalition,Other,0,1618873889
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Nuwaidrat,26.135,50.597,14 February Revolution Youth Coalition,Other,0,1618873889
19-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Al Maamir,26.133,50.609,14 February Revolution Youth Coalition,Other,0,1618873884
23-Sep-20,2020,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,5,,,0,50,Middle East,Bahrain,Al Diraz,26.218,50.471,14 February Revolution Youth Coalition,Other,0,1618873887
17-Apr-21,2021,Violence against civilians,Attack,Police Forces of Bahrain (1999-) Prison Guards,,1,Civilians (Bahrain),Prisoners (Bahrain),7,17,Middle East,Bahrain,Jaw Prison,25.992,50.617,AhlulBayt News Agency,Regional,0,1621878014
11-Aug-21,2021,Strategic developments,Other,Police Forces of Bahrain (1999-),,1,Civilians (Bahrain),Shiite Muslim Group (Bahrain),7,17,Middle East,Bahrain,Bilad al Qadim,26.212,50.562,LuaLua TV,National,0,1641867731
11-Aug-21,2021,Strategic developments,Other,Police Forces of Bahrain (1999-),,1,Civilians (Bahrain),Shiite Muslim Group (Bahrain),7,17,Middle East,Bahrain,Bilad al Qadim,26.212,50.562,LuaLua TV,National,0,1641867731
30-Jan-16,2016,Violence against civilians,Attack,Military Forces of Israel (2009-2021),,8,Civilians (Palestine),Farmers (Palestine),7,78,Middle East,Palestine,Bayt Hanun,31.535,34.536,Palestine News and Information Agency,National,0,1624315879
30-Jan-16,2016,Violence against civilians,Attack,Military Forces of Israel (2009-2021),,8,Civilians (Palestine),Farmers (Palestine),7,78,Middle East,Palestine,Rafah,31.287,34.26,Palestine News and Information Agency,National,0,1624315880
31-Jan-16,2016,Battles,Armed clash,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2009-2021),,8,38,Middle East,Palestine,Bayt Horon,31.876,35.13,Arutz Sheva; AFP,Regional-International,0,1624315861
31-Jan-16,2016,Strategic developments,Other,Military Forces of Israel (2009-2021),,8,Civilians (Palestine),Students (Palestine),7,78,Middle East,Palestine,Hebron,31.529,35.094,Arab 48,National,0,1624315870
31-Jan-16,2016,Battles,Armed clash,Police Forces of Palestine (1994-) West Bank,,1,Military Forces of Israel (2009-2021),,8,18,Middle East,Palestine,Bayt El,31.933,35.217,Jerusalem Post,Regional,1,1624315872
31-Jan-16,2016,Riots,Mob violence,Military Forces of Israel (2009-2021),,8,Rioters (Palestine),,5,58,Middle East,Palestine,Jaba,32.324,35.221,Ma'an News Agency,National,0,1624315875
01-Feb-16,2016,Battles,Armed clash,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2009-2021),,8,38,Middle East,Palestine,Kafr Sur,32.244,35.064,Jordan News Agency; AFP,Regional-International,1,1624315861
02-Feb-16,2016,Violence against civilians,Attack,Settlers (Israel),,3,Civilians (Palestine),,7,37,Middle East,Palestine,Kiryat Arba,31.528,35.119,Palestine News and Information Agency; Jordan News Agency,National-Regional,0,1572403611
14-Feb-18,2018,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2009-2021),,8,38,Middle East,Palestine,Qasr el Yahud,31.833,35.517,Jerusalem Post; Anadolu Agency,Regional,0,1624315860
14-Feb-18,2018,Strategic developments,Arrests,Military Forces of Israel (2009-2021),,8,Civilians (Palestine),,7,78,Middle East,Palestine,Ramallah,31.9,35.204,Anadolu Agency,Regional,0,1624315867
14-Feb-18,2018,Strategic developments,Looting/property destruction,Police Forces of Israel (2009-2021),,8,Civilians (Palestine),,7,78,Middle East,Palestine,Al Quds - Bayt Safafa,31.744,35.206,Arab 48,National,0,1624315869
14-Feb-18,2018,Strategic developments,Looting/property destruction,Military Forces of Israel (2009-2021),,8,Civilians (Palestine),,7,78,Middle East,Palestine,Beit Kahil,31.57,35.065,Arab 48,National,0,1624315870
14-Feb-18,2018,Riots,Mob violence,Rioters (Israel),Police Forces of Israel (2009-2021); Settlers (Israel),5,Civilians (Palestine),,7,57,Middle East,Palestine,Al Quds - Old City,31.777,35.234,Palestine News and Information Agency,National,0,1624315879
15-Feb-18,2018,Protests,Protest with intervention,Protesters (Palestine),,6,Military Forces of Israel (2009-2021),,8,68,Middle East,Palestine,Bayta,32.141,35.286,Arab 48,National,0,1624315869
